"AtcoCode","Sequence","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1900HAFLX002",1,"U",461073,137494,"","",,"new"
"1900HAFLX002",2,"U",461785,141714,"","",,"new"
"1900HAFLX002",3,"U",458462,144253,"","",,"new"
"1900HAFLX002",4,"U",462977,149474,"","",,"new"
"1900HAFLX002",5,"U",464037,149474,"","",,"new"
"1900HAFLX002",6,"U",464651,136902,"","",,"new"
"1900HAFLX003",1,"U",442086,141152,"","",,"new"
"1900HAFLX003",2,"U",440739,142572,"","",,"new"
"1900HAFLX003",3,"U",442222,147690,"","",,"new"
"1900HAFLX003",4,"U",445571,147706,"","",,"new"
"1900HAFLX003",5,"U",445951,140977,"","",,"new"
"1900HAFLX004",1,"U",428234,150336,"","",,"new"
"1900HAFLX004",2,"U",428552,153084,"","",,"new"
"1900HAFLX004",3,"U",429771,154904,"","",,"new"
"1900HAFLX004",4,"U",432468,153332,"","",,"new"
"1900HAFLX004",5,"U",432207,151574,"","",,"new"
"1900HAFLX005",1,"U",428121,150123,"","",,"new"
"1900HAFLX005",2,"U",432852,151667,"","",,"new"
"1900HAFLX005",3,"U",432751,150538,"","",,"new"
"1900HAFLX005",4,"U",433740,147076,"","",,"new"
"1900HAFLX005",5,"U",431695,146770,"","",,"new"
"1900HAFLX005",6,"U",428016,149742,"","",,"new"
"1900HAFLX006",1,"U",427898,146046,"","",,"new"
"1900HAFLX006",2,"U",427592,148029,"","",,"new"
"1900HAFLX006",3,"U",427933,149678,"","",,"new"
"1900HAFLX006",4,"U",431557,146741,"","",,"new"
"1900HAFLX007",1,"U",438455,148092,"","",,"new"
"1900HAFLX007",2,"U",437387,149020,"","",,"new"
"1900HAFLX007",3,"U",436925,149850,"","",,"new"
"1900HAFLX007",4,"U",435998,150269,"","",,"new"
"1900HAFLX007",5,"U",435990,151057,"","",,"new"
"1900HAFLX007",6,"U",437178,150770,"","",,"new"
"1900HAFLX007",7,"U",437923,150118,"","",,"new"
"1900HAFLX007",8,"U",438722,149858,"","",,"new"
"1900HAFLX007",9,"U",439281,150622,"","",,"new"
"1900HAFLX007",10,"U",441365,150553,"","",,"new"
"1900HAFLX007",11,"U",441924,149975,"","",,"new"
"1900HAFLX007",12,"U",441443,149808,"","",,"new"
"1900HAFLX007",13,"U",441679,149319,"","",,"new"
"1900HAFLX007",14,"U",439234,148072,"","",,"new"
"1900HAFLX008",1,"U",438540,151515,"","",,"new"
"1900HAFLX008",2,"U",437577,152757,"","",,"new"
"1900HAFLX008",3,"U",437224,153169,"","",,"new"
"1900HAFLX008",4,"U",437620,153176,"","",,"new"
"1900HAFLX008",5,"U",437616,153723,"","",,"new"
"1900HAFLX008",6,"U",438877,153743,"","",,"new"
"1900HAFLX008",7,"U",441683,152520,"","",,"new"
"1900HAFLX008",8,"U",442176,151996,"","",,"new"
"1900HAFLX008",9,"U",442304,151224,"","",,"new"
"1900HAFLX008",10,"U",441680,150308,"","",,"new"
"1900HAFLX008",11,"U",440453,150274,"","",,"new"
"1900HAFLX008",12,"U",439304,151267,"","",,"new"
"1900HAFLX009",1,"U",434795,148081,"","",,"new"
"1900HAFLX009",2,"U",432796,150618,"","",,"new"
"1900HAFLX009",3,"U",432893,151511,"","",,"new"
"1900HAFLX009",4,"U",432128,151364,"","",,"new"
"1900HAFLX009",5,"U",432474,153343,"","",,"new"
"1900HAFLX009",6,"U",431822,153731,"","",,"new"
"1900HAFLX009",7,"U",432345,154423,"","",,"new"
"1900HAFLX009",8,"U",433200,154507,"","",,"new"
"1900HAFLX009",9,"U",433250,155112,"","",,"new"
"1900HAFLX009",10,"U",433599,155310,"","",,"new"
"1900HAFLX009",11,"U",433494,155559,"","",,"new"
"1900HAFLX009",12,"U",433006,155605,"","",,"new"
"1900HAFLX009",13,"U",433065,157214,"","",,"new"
"1900HAFLX009",14,"U",432493,158022,"","",,"new"
"1900HAFLX009",15,"U",437352,158616,"","",,"new"
"1900HAFLX009",16,"U",438266,155644,"","",,"new"
"1900HAFLX009",17,"U",437522,154557,"","",,"new"
"1900HAFLX009",18,"U",437832,152589,"","",,"new"
"270000008195",1,"U",543145,356799,"","",,"new"
"270000008195",2,"U",543598,356799,"","",,"new"
"270000008195",3,"U",543598,356457,"","",,"new"
"270000008195",4,"U",543145,356457,"","",,"new"
"270000008196",1,"U",539971,377111,"","",,"new"
"270000008196",2,"U",540305,377111,"","",,"new"
"270000008196",3,"U",540305,376808,"","",,"new"
"270000008196",4,"U",539971,376808,"","",,"new"
"270000008197",1,"U",543736,355670,"","",,"new"
"270000008197",2,"U",543736,356148,"","",,"new"
"270000008197",3,"U",544402,356148,"","",,"new"
"270000008197",4,"U",544402,355670,"","",,"new"
"270000008709",1,"U",533134,378740,"","",,"new"
"270000008709",2,"U",533332,378740,"","",,"new"
"270000008709",3,"U",533332,378597,"","",,"new"
"270000008709",4,"U",533164,378597,"","",,"new"
"270000008710",1,"U",530660,384524,"","",,"new"
"270000008710",2,"U",531290,384524,"","",,"new"
"270000008710",3,"U",531290,384976,"","",,"new"
"270000008710",4,"U",530660,384976,"","",,"new"
"270000009069",1,"U",542173,354156,"","",,"new"
"270000009069",2,"U",543073,354156,"","",,"new"
"270000009069",3,"U",543073,352966,"","",,"new"
"270000009069",4,"U",542173,352966,"","",,"new"
"270000009070",1,"U",539996,357526,"","",,"new"
"270000009070",2,"U",540412,357526,"","",,"new"
"270000009070",3,"U",540412,356914,"","",,"new"
"270000009070",4,"U",539996,356914,"","",,"new"
"270000009072",1,"U",551313,360623,"","",,"new"
"270000009072",2,"U",552446,360623,"","",,"new"
"270000009072",3,"U",552446,359859,"","",,"new"
"270000009072",4,"U",551313,359859,"","",,"new"
"270000009073",1,"U",539949,383571,"","",,"new"
"270000009073",2,"U",541208,383571,"","",,"new"
"270000009073",3,"U",541208,382537,"","",,"new"
"270000009073",4,"U",539949,382537,"","",,"new"
"270000009074",1,"U",555484,358179,"","",,"new"
"270000009074",2,"U",555724,358179,"","",,"new"
"270000009074",3,"U",555724,357890,"","",,"new"
